,Unnamed: 0,rank,titolo,date info,periodo,score,commenti,url
0,0,1,NKRYPT Sculpture,2024-09-26T14:24:36.000000Z,3 hours ago,146,6,https://www.meme.net.au/nkrypt/
1,1,2,From Gatsby gridlock to Astro bliss: my personal site redesign,2024-09-26T17:47:12.000000Z,39 minutes ago,17,not punti yet,https://jwn.gr/posts/migrating-from-gatsby-to-astro/
2,2,3,Hacking Kia: Remotely Controlling Cars with Just a License Plate,2024-09-26T14:22:07.000000Z,4 hours ago,52,30,https://samcurry.net/hacking-kia
3,3,4,"DoNotPay has to pay $193K for falsely touting untested AI lawyer, FTC says",2024-09-26T15:13:44.000000Z,3 hours ago,151,117,https://arstechnica.com/tech-policy/2024/09/startup-behind-worlds-first-robot-lawyer-to-pay-193k-for-false-ads-ftc-says/
4,4,5,The Holotypic Occlupanid Research Group,2024-09-26T17:02:05.000000Z,43 minutes ago,7,2,http://www.horg.com/horg/
5,5,6,Italian Music Through the Lens of Complex Networks,2024-09-26T09:39:57.000000Z,6 hours ago,78,9,https://www.michelecoscia.com/?p=2372
6,6,7,AWS Nitro Enclaves: Attack Surface,2024-09-26T07:12:04.000000Z,5 hours ago,87,11,https://blog.trailofbits.com/2024/09/24/notes-on-aws-nitro-enclaves-attack-surface/
7,7,8,"Orion, our first true augmented reality glasses",2024-09-25T17:56:53.000000Z,1 day ago,1142,951,https://about.fb.com/news/2024/09/introducing-orion-our-first-true-augmented-reality-glasses/
8,8,9,Flexport Is Hiring a Staff Product Designer in SF,2024-09-26T17:01:02.000000Z,1 hour ago,no scored yet,not punti yet,https://job-boards.greenhouse.io/flexport/jobs/6270806?gh_jid=6270806
9,9,10,OpenAI to Become For-Profit Company,2024-09-26T08:34:43.000000Z,9 hours ago,779,457,https://www.wsj.com/tech/ai/openai-chief-technology-officer-resigns-7a8b4639
10,10,11,New standards for a faster and more private Internet,2024-09-26T17:07:08.000000Z,1 hour ago,31,7,https://blog.cloudflare.com/new-standards/
11,11,12,"Llama 3.2: Revolutionizing edge AI and vision with open, customizable models",2024-09-25T17:29:27.000000Z,1 day ago,834,291,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/?_fb_noscript=1
12,12,13,"Octopuses seen hunting together with fish, punching those that don't cooperate",2024-09-23T20:03:44.000000Z,11 hours ago,217,167,https://www.nbcnews.com/science/science-news/octopuses-hunt-with-fish-punch-video-rcna171705
13,13,14,Algorithms for the 21st Century (2006),2024-09-22T05:47:58.000000Z,4 hours ago,10,3,http://yaccman.com/papers/a21/Alg21.html
14,14,15,The Mathematics of Dobble (2018),2024-09-21T08:32:40.000000Z,4 hours ago,20,2,https://www.petercollingridge.co.uk/blog/mathematics-toys-and-games/dobble/
15,15,16,"Show HN: Cronexpr, a Rust library to parse and iter crontab expression",2024-09-26T05:10:46.000000Z,13 hours ago,127,21,https://docs.rs/cronexpr/latest/cronexpr/
16,16,17,Xkcd 1425 (Tasks) turns ten years old today,2024-09-24T17:37:50.000000Z,15 hours ago,882,397,https://simonwillison.net/2024/Sep/24/xkcd-1425-turns-ten-years-old-today/
17,17,18,Blast wakes ghosts of nuclear past (1995),2024-09-22T14:12:40.000000Z,3 hours ago,12,1,https://www.newscientist.com/article/mg14619810-300-blast-wakes-ghosts-of-nuclear-past/
18,18,19,"Git-absorb: Git commit –fixup, but automatic",2024-09-26T00:12:53.000000Z,18 hours ago,368,205,https://github.com/tummychow/git-absorb
19,19,20,Nardwuar on His Best and Worst Interviews,2024-09-26T17:03:32.000000Z,1 hour ago,19,6,https://www.vulture.com/article/nardwuar-best-worst-interviews.html
20,20,21,Launch HN: Haystack (YC S24) – Visualize and edit code on an infinite canvas,2024-09-25T15:31:00.000000Z,1 day ago,302,165,https://github.com/haystackeditor/haystack-editor
21,21,22,PostgreSQL 17,2024-09-26T13:10:24.000000Z,5 hours ago,352,68,https://www.postgresql.org/about/news/postgresql-17-released-2936/
22,22,23,Swift/Java interoperability tools and libraries,2024-09-26T18:22:57.000000Z,4 minutes ago,3,not punti yet,https://twitter.com/SwiftLang/status/1839328831200809217
23,23,24,"Pirate library must pay publishers $30M, but no one knows who runs it",2024-09-26T18:22:23.000000Z,4 minutes ago,3,not punti yet,https://arstechnica.com/tech-policy/2024/09/pirate-library-must-pay-publishers-30m-but-no-one-knows-who-runs-it/
24,24,25,Eliminating Memory Safety Vulnerabilities at the Source,2024-09-25T18:49:03.000000Z,23 hours ago,290,141,https://security.googleblog.com/2024/09/eliminating-memory-safety-vulnerabilities-Android.html
25,25,26,Shizuku: App that lets you use system APIs with higher privileges without root,2024-09-22T10:11:43.000000Z,13 hours ago,70,23,https://shizuku.rikka.app/
26,26,27,The lost language extensions of MetaWare's High C compiler (2023),2024-09-25T14:19:13.000000Z,1 day ago,287,97,https://duriansoftware.com/joe/the-lost-language-extensions-of-metaware%27s-high-c-compiler
27,27,28,Another new wasp species discovered by researchers,2024-09-23T22:15:17.000000Z,9 hours ago,23,12,https://phys.org/news/2024-09-wasp-species.html
28,28,29,Writing Portable Rendering Code with Nvrhi,2024-09-22T11:53:26.000000Z,10 hours ago,26,5,https://developer.nvidia.com/blog/writing-portable-rendering-code-with-nvrhi/
29,29,30,"GitHub-events-viewer a.k.a. ""What did I do yesterday?""",2024-09-21T11:17:22.000000Z,15 hours ago,70,20,https://github.com/zbycz/github-events-viewer
